"ITTER107,""Territory"",""TIPO_DATO14"",""Data type"",""TIPO_ATTIVITASAN"",""Type of clinical specialty"",""TIME"",""Select time"",""Value"",""Flag Codes"",""Flags"""
"IT,""Italy"",""19"",""inpatient hospital beds"",""99"",""total"",""2017"",""2017"",188748,,"
"IT,""Italy"",""25"",""inpatient beddays in hospital"",""99"",""total"",""2017"",""2017"",53718049,,"
"IT,""Italy"",""28"",""day hospital beds"",""99"",""total"",""2017"",""2017"",21278,,"
"IT,""Italy"",""30"",""day hospital beddays"",""99"",""total"",""2017"",""2017"",5122494,,"
"IT,""Italy"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",3.12,,"
"IT,""Italy"",""115"",""day cases  beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",0.35,,"
"IT,""Italy"",""118"",""day hospital discharges"",""99"",""total"",""2017"",""2017"",1847014,,"
"IT,""Italy"",""119"",""day hospital discharges per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",30.51,,"
"IT,""Italy"",""19"",""inpatient hospital beds"",""12"",""acute care"",""2017"",""2017"",155929,,"
"IT,""Italy"",""25"",""inpatient beddays in hospital"",""12"",""acute care"",""2017"",""2017"",43207506,,"
"IT,""Italy"",""27"",""average lenght of stay in hospital (inpatient)"",""12"",""acute care"",""2017"",""2017"",6.98,,"
"IT,""Italy"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""12"",""acute care"",""2017"",""2017"",2.58,,"
"IT,""Italy"",""19"",""inpatient hospital beds"",""13"",""long term care"",""2017"",""2017"",8332,,"
"IT,""Italy"",""25"",""inpatient beddays in hospital"",""13"",""long term care"",""2017"",""2017"",2417866,,"
"IT,""Italy"",""27"",""average lenght of stay in hospital (inpatient)"",""13"",""long term care"",""2017"",""2017"",24.68,,"
"IT,""Italy"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""13"",""long term care"",""2017"",""2017"",0.14,,"
"IT,""Italy"",""19"",""inpatient hospital beds"",""14"",""rehabilitation"",""2017"",""2017"",24487,,"
"IT,""Italy"",""25"",""inpatient beddays in hospital"",""14"",""rehabilitation"",""2017"",""2017"",8092677,,"
"IT,""Italy"",""27"",""average lenght of stay in hospital (inpatient)"",""14"",""rehabilitation"",""2017"",""2017"",25.62,,"
"IT,""Italy"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""14"",""rehabilitation"",""2017"",""2017"",0.4,,"
"ITCD,""Nord"",""19"",""inpatient hospital beds"",""99"",""total"",""2017"",""2017"",94982,,"
"ITCD,""Nord"",""25"",""inpatient beddays in hospital"",""99"",""total"",""2017"",""2017"",27760529,,"
"ITCD,""Nord"",""28"",""day hospital beds"",""99"",""total"",""2017"",""2017"",8320,,"
"ITCD,""Nord"",""30"",""day hospital beddays"",""99"",""total"",""2017"",""2017"",1687418,,"
"ITCD,""Nord"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",3.42,,"
"ITCD,""Nord"",""115"",""day cases  beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",0.3,,"
"ITCD,""Nord"",""118"",""day hospital discharges"",""99"",""total"",""2017"",""2017"",735979,,"
"ITCD,""Nord"",""119"",""day hospital discharges per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",26.53,,"
"ITCD,""Nord"",""19"",""inpatient hospital beds"",""12"",""acute care"",""2017"",""2017"",75508,,"
"ITCD,""Nord"",""25"",""inpatient beddays in hospital"",""12"",""acute care"",""2017"",""2017"",21342227,,"
"ITCD,""Nord"",""27"",""average lenght of stay in hospital (inpatient)"",""12"",""acute care"",""2017"",""2017"",7.09,,"
"ITCD,""Nord"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""12"",""acute care"",""2017"",""2017"",2.72,,"
"ITCD,""Nord"",""19"",""inpatient hospital beds"",""13"",""long term care"",""2017"",""2017"",5050,,"
"ITCD,""Nord"",""25"",""inpatient beddays in hospital"",""13"",""long term care"",""2017"",""2017"",1520187,,"
"ITCD,""Nord"",""27"",""average lenght of stay in hospital (inpatient)"",""13"",""long term care"",""2017"",""2017"",23.38,,"
"ITCD,""Nord"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""13"",""long term care"",""2017"",""2017"",0.18,,"
"ITCD,""Nord"",""19"",""inpatient hospital beds"",""14"",""rehabilitation"",""2017"",""2017"",14424,,"
"ITCD,""Nord"",""25"",""inpatient beddays in hospital"",""14"",""rehabilitation"",""2017"",""2017"",4898115,,"
"ITCD,""Nord"",""27"",""average lenght of stay in hospital (inpatient)"",""14"",""rehabilitation"",""2017"",""2017"",23.94,,"
"ITCD,""Nord"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""14"",""rehabilitation"",""2017"",""2017"",0.52,,"
"ITC,""Nord-ovest"",""19"",""inpatient hospital beds"",""99"",""total"",""2017"",""2017"",55040,,"
"ITC,""Nord-ovest"",""25"",""inpatient beddays in hospital"",""99"",""total"",""2017"",""2017"",16077491,,"
